deficit,year
-2.798,1968
0.33,1969
-0.271,1970
-2.058,1971
-1.917,1972
-1.099,1973
-0.413,1974
-3.306,1975
-4.118,1976
-2.645,1977
-2.598,1978
-1.585,1979
-2.64,1980
-2.516,1981
-3.862,1982
-5.868,1983
-4.689,1984
-4.972,1985
-4.877,1986
-3.131,1987
-3.01,1988
-2.74,1989
-3.737,1990
-4.406,1991
-4.512,1992
-3.754,1993
-2.823,1994
-2.162,1995
-1.347,1996
-0.258,1997
0.774,1998
1.321,1999
2.328,2000
1.214,2001
-1.45,2002
-3.332,2003
-3.414,2004
-2.47,2005
-1.814,2006
-1.122,2007
-3.108,2008
-9.8,2009
-8.747,2010
-8.45,2011
-6.782,2012
-4.114,2013
-2.81,2014
-2.438,2015
-3.165,2016
-3.469,2017
